Index,Holder,Week,Age,Customer Age,Active Sum,Average Long GIC Rate,Average Long GIC Rank,Average Short GIC Rate,Average Short GIC Rank,SAV,SAV Rank,Average CSH Rate,Average CSH Rank,Average Contract,Average Interest,Average Term,Balance,Average Balance,Balance Volatility,Time to Balance,Average Number of Transactions,Average Transaction Average,Average Time to Transaction,GIC Purchase,GIC Renewal
28,31921,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,30801.63,2.92,777,0,0,0,0,1.25,30801.63,777,FALSE,FALSE
29,32519,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,31769.61,3,1826.67,0,0,0,0,1,31769.61,1826.67,FALSE,FALSE
30,32566,0,43465,43465,16,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,40525.92,2.98,1294.46,0.22,478.05,24.26,25.69,1.08,12941.46,620,FALSE,FALSE
31,32611,0,43465,43465,6,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,74153.96,2.82,548.75,0,0,0,0,1,0,0,FALSE,FALSE
32,32786,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,40000,2.85,1461.5,0,0,0,0,1,0,0,FALSE,FALSE
33,33207,0,43465,43465,8,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,20698.98,2.52,852.67,4.99,1572.67,45.95,23.86,1.17,20698.98,852.67,FALSE,FALSE
34,33283,0,43465,43465,11,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,6569.74,2.77,690.11,2000,438.13,31.77,18.37,1,1947.45,202.89,FALSE,FALSE
35,33597,0,43465,43465,6,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,15729.11,2.56,457.75,0.94,0.94,0.12,27.83,1.25,15729.11,457.75,FALSE,FALSE
36,33730,0,24108,2742,14,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,25822.33,2.6,1005.67,0,0,0,0,1,4989,518.08,FALSE,FALSE
37,34125,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,18003.35,2.8,365.5,0,0,0,0,1,18003.35,365.5,FALSE,FALSE
38,34181,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,6296.2,2.8,365,0,0,0,0,1,6296.2,365,FALSE,FALSE
39,34314,0,17383,2742,11,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,26297.02,2.52,365.7,0.01,0.09,0.33,30.36,1,26297.02,365.7,FALSE,FALSE
